EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
RM358,21,18-25,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,478,Female,Sales Representative,2,Single,2174,Upto 5k,Yes,11,3,3,3
RM363,21,18-25,No,Non-Travel,Sales,9,2,Medical,1,484,Male,Sales Representative,4,Single,2610,Upto 5k,No,24,3,2,3
RM371,21,18-25,Yes,Travel_Rarely,Sales,12,3,Life Sciences,1,494,Female,Sales Representative,2,Single,2716,Upto 5k,No,15,1,3,1
RM497,21,18-25,No,Travel_Rarely,Sales,22,1,Technical Degree,1,669,Male,Sales Representative,3,Single,3447,Upto 5k,No,11,3,3,3
RM664,21,18-25,Yes,Travel_Rarely,Research & Development,18,1,Other,1,923,Female,Research Scientist,4,Single,2693,Upto 5k,No,19,1,2,1
RM778,21,18-25,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,1,1079,Female,Laboratory Technician,1,Single,1416,Upto 5k,No,13,1,2,1
RM816,21,18-25,No,Travel_Rarely,Research & Development,1,1,Technical Degree,1,1131,Female,Research Scientist,2,Single,2070,Upto 5k,Yes,11,2,4,2
RM916,21,18-25,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,1,1279,Female,Laboratory Technician,3,Single,2625,Upto 5k,No,20,2,1,2
RM1153,21,18-25,No,Travel_Rarely,Research & Development,5,1,Medical,1,1623,Male,Research Scientist,4,Single,3117,Upto 5k,No,18,3,3,2
RM1272,21,18-25,Yes,Travel_Rarely,Sales,7,1,Marketing,1,1780,Male,Sales Representative,2,Single,2679,Upto 5k,No,13,1,3,1
RM1437,21,18-25,No,Travel_Rarely,Sales,5,1,Medical,1,2021,Male,Sales Representative,1,Single,2380,Upto 5k,Yes,11,2,3,2
RM018,22,18-25,No,Non-Travel,Research & Development,16,2,Medical,1,22,Male,Laboratory Technician,4,Divorced,2935,Upto 5k,Yes,13,1,2,1
RM110,22,18-25,No,Travel_Rarely,Research & Development,15,3,Medical,1,144,Female,Laboratory Technician,4,Single,2871,Upto 5k,No,15,1,3,0
RM129,22,18-25,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,169,Male,Laboratory Technician,4,Married,2523,Upto 5k,No,14,3,3,2
RM161,22,18-25,No,Travel_Rarely,Research & Development,19,1,Medical,1,217,Male,Research Scientist,4,Married,2323,Upto 5k,No,24,2,3,2
RM207,22,18-25,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,284,Male,Research Scientist,2,Divorced,2328,Upto 5k,Yes,16,4,2,4
RM384,22,18-25,No,Travel_Rarely,Research & Development,11,3,Medical,1,511,Female,Research Scientist,2,Married,2244,Upto 5k,No,13,2,3,2
RM444,22,18-25,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,1,593,Male,Laboratory Technician,3,Single,3894,Upto 5k,No,16,4,3,2
RM499,22,18-25,No,Travel_Rarely,Research & Development,6,1,Medical,1,675,Male,Research Scientist,3,Married,2773,Upto 5k,No,20,3,3,2
RM631,22,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,872,Male,Manufacturing Director,4,Married,4775,Upto 5k,No,22,4,1,2
RM667,22,18-25,Yes,Travel_Rarely,Research & Development,3,1,Life Sciences,1,926,Female,Manufacturing Director,3,Married,4171,Upto 5k,Yes,19,4,4,3
RM735,22,18-25,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,1019,Male,Laboratory Technician,1,Married,2451,Upto 5k,No,15,4,2,4
RM861,22,18-25,Yes,Travel_Frequently,Research & Development,3,4,Life Sciences,1,1203,Male,Research Scientist,4,Married,2853,Upto 5k,Yes,11,1,3,0
RM1138,22,18-25,No,Non-Travel,Research & Development,26,2,Other,1,1605,Female,Research Scientist,3,Married,2814,Upto 5k,Yes,14,4,2,4
RM1274,22,18-25,Yes,Travel_Rarely,Research & Development,8,1,Medical,1,1783,Female,Laboratory Technician,1,Married,2398,Upto 5k,Yes,17,1,3,1
RM1340,22,18-25,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,1878,Male,Research Scientist,2,Single,2472,Upto 5k,Yes,23,1,3,1
RM1424,22,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,2007,Male,Research Scientist,3,Single,3375,Upto 5k,No,12,4,4,3
RM087,23,18-25,No,Travel_Rarely,Sales,2,1,Technical Degree,1,113,Male,Sales Representative,1,Divorced,2322,Upto 5k,No,13,3,3,0
RM346,23,18-25,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,465,Male,Research Scientist,4,Divorced,2904,Upto 5k,No,12,4,2,4
RM517,23,18-25,No,Travel_Rarely,Research & Development,4,3,Medical,1,705,Male,Research Scientist,1,Married,2819,Upto 5k,No,16,5,4,3
RM551,23,18-25,No,Travel_Rarely,Research & Development,9,1,Medical,1,758,Male,Laboratory Technician,1,Married,2500,Upto 5k,No,14,5,4,4
RM566,23,18-25,No,Travel_Rarely,Research & Development,10,1,Medical,1,784,Male,Research Scientist,3,Single,3505,Upto 5k,No,18,2,3,2
RM586,23,18-25,Yes,Travel_Rarely,Research & Development,6,3,Life Sciences,1,811,Male,Laboratory Technician,1,Married,1601,Upto 5k,Yes,21,1,3,0
RM911,23,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1270,Male,Research Scientist,3,Married,1223,Upto 5k,No,22,1,3,1
RM1083,23,18-25,No,Travel_Rarely,Research & Development,20,1,Life Sciences,1,1533,Male,Laboratory Technician,3,Single,2272,Upto 5k,No,14,5,3,4
RM1128,23,18-25,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,1592,Male,Research Scientist,3,Married,2073,Upto 5k,No,16,4,3,2
RM1202,23,18-25,Yes,Travel_Rarely,Research & Development,8,1,Medical,1,1684,Male,Laboratory Technician,3,Single,3989,Upto 5k,Yes,11,5,3,5
RM1214,23,18-25,Yes,Travel_Rarely,Sales,7,3,Life Sciences,1,1702,Male,Sales Representative,4,Divorced,2275,Upto 5k,Yes,21,3,3,3
RM1239,23,18-25,No,Travel_Rarely,Research & Development,4,1,Medical,1,1735,Female,Laboratory Technician,2,Single,3295,Upto 5k,No,13,3,1,3
RM1409,23,18-25,No,Travel_Rarely,Research & Development,12,2,Other,1,1982,Male,Laboratory Technician,4,Single,2647,Upto 5k,No,13,5,4,5
RM1439,23,18-25,Yes,Travel_Frequently,Sales,9,3,Marketing,1,2023,Male,Sales Representative,1,Married,1790,Upto 5k,No,19,1,2,1
RM021,24,18-25,No,Non-Travel,Research & Development,11,2,Other,1,26,Female,Manufacturing Director,3,Divorced,4011,Upto 5k,No,18,5,2,4
RM035,24,18-25,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,45,Male,Research Scientist,4,Married,2293,Upto 5k,Yes,16,6,2,2
RM097,24,18-25,No,Travel_Rarely,Sales,3,2,Other,1,128,Female,Sales Executive,3,Married,4999,Upto 5k,No,21,4,2,3
RM114,24,18-25,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,150,Male,Laboratory Technician,3,Married,2774,Upto 5k,No,12,6,3,5
RM381,24,18-25,No,Travel_Rarely,Sales,10,4,Marketing,1,507,Female,Sales Executive,3,Divorced,4260,Upto 5k,Yes,12,5,4,5
RM415,24,18-25,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,554,Female,Sales Representative,2,Single,3202,Upto 5k,Yes,16,6,3,5
RM471,24,18-25,No,Travel_Frequently,Sales,24,3,Medical,1,632,Male,Sales Representative,4,Married,2400,Upto 5k,No,13,3,3,2
RM475,24,18-25,No,Travel_Rarely,Research & Development,23,3,Medical,1,639,Male,Research Scientist,4,Married,2725,Upto 5k,Yes,11,6,3,6
RM477,24,18-25,No,Travel_Rarely,Research & Development,17,2,Other,1,643,Male,Laboratory Technician,2,Married,2127,Upto 5k,No,21,1,3,1
RM480,24,18-25,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,647,Female,Laboratory Technician,3,Married,2886,Upto 5k,Yes,16,6,3,6
RM526,24,18-25,Yes,Travel_Rarely,Sales,3,2,Life Sciences,1,720,Female,Sales Executive,3,Single,4577,Upto 5k,No,14,4,3,2
RM587,24,18-25,No,Non-Travel,Research & Development,9,3,Life Sciences,1,812,Male,Laboratory Technician,2,Divorced,2694,Upto 5k,No,11,1,3,1
RM641,24,18-25,No,Non-Travel,Research & Development,4,1,Life Sciences,1,888,Male,Laboratory Technician,4,Married,3162,Upto 5k,No,17,6,2,5
RM725,24,18-25,No,Travel_Rarely,Research & Development,17,1,Medical,1,1009,Female,Manufacturing Director,3,Divorced,4377,Upto 5k,No,15,5,3,4
RM842,24,18-25,No,Travel_Rarely,Research & Development,24,3,Medical,1,1173,Male,Laboratory Technician,2,Single,3597,Upto 5k,No,22,6,3,4
RM872,24,18-25,Yes,Travel_Rarely,Research & Development,17,2,Life Sciences,1,1219,Female,Laboratory Technician,2,Married,2210,Upto 5k,No,13,1,1,1
RM1026,24,18-25,No,Travel_Rarely,Sales,4,1,Medical,1,1445,Female,Sales Executive,3,Married,4162,Upto 5k,Yes,12,5,3,5
RM1061,24,18-25,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,1494,Male,Laboratory Technician,1,Single,3172,Upto 5k,Yes,11,4,2,0
RM1062,24,18-25,No,Non-Travel,Sales,13,2,Life Sciences,1,1495,Female,Sales Representative,2,Married,2033,Upto 5k,No,13,1,3,1
RM1098,24,18-25,No,Travel_Rarely,Research & Development,21,2,Technical Degree,1,1551,Male,Laboratory Technician,1,Divorced,2296,Upto 5k,No,14,2,3,1
RM1169,24,18-25,No,Travel_Frequently,Research & Development,2,1,Technical Degree,1,1646,Female,Research Scientist,4,Single,3760,Upto 5k,Yes,13,6,3,6
RM1218,24,18-25,No,Travel_Rarely,Research & Development,9,3,Medical,1,1707,Male,Research Scientist,3,Married,4401,Upto 5k,No,16,5,3,5
RM1223,24,18-25,Yes,Travel_Rarely,Human Resources,22,1,Human Resources,1,1714,Male,Human Resources,3,Married,1555,Upto 5k,No,11,1,3,1
RM1231,24,18-25,No,Travel_Rarely,Research & Development,29,1,Medical,1,1725,Male,Laboratory Technician,1,Divorced,3907,Upto 5k,No,13,6,4,6
RM1246,24,18-25,No,Travel_Frequently,Human Resources,10,3,Medical,1,1746,Male,Human Resources,4,Married,2145,Upto 5k,No,14,3,3,2
RM1408,24,18-25,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1981,Male,Healthcare Representative,3,Single,4617,Upto 5k,No,12,4,2,4
RM108,25,18-25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,142,Male,Sales Executive,3,Single,5744,5k-10k,Yes,11,6,3,6
RM109,25,18-25,No,Travel_Rarely,Research & Development,7,1,Medical,1,143,Male,Research Scientist,4,Married,2889,Upto 5k,No,11,2,3,2
RM139,25,18-25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,183,Male,Sales Executive,3,Married,8639,5k-10k,No,18,6,3,2
RM256,25,18-25,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,350,Female,Manufacturing Director,3,Married,4898,Upto 5k,No,12,5,3,4
RM268,25,18-25,No,Non-Travel,Research & Development,5,2,Life Sciences,1,369,Male,Healthcare Representative,1,Divorced,4000,Upto 5k,No,12,6,3,6
RM398,25,18-25,No,Travel_Rarely,Sales,4,2,Life Sciences,1,527,Female,Sales Executive,4,Single,4487,Upto 5k,Yes,11,5,3,5
RM406,25,18-25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,538,Male,Laboratory Technician,1,Married,4031,Upto 5k,No,13,6,3,2
RM479,25,18-25,No,Travel_Rarely,Sales,13,1,Medical,1,645,Male,Sales Representative,3,Married,2096,Upto 5k,No,11,7,3,7
RM518,25,18-25,No,Travel_Rarely,Sales,8,3,Life Sciences,1,707,Male,Sales Executive,2,Married,4851,Upto 5k,No,22,4,3,3
RM564,25,18-25,No,Travel_Rarely,Sales,26,1,Medical,1,781,Female,Sales Executive,4,Single,6180,5k-10k,No,23,6,2,6
RM619,25,18-25,No,Travel_Rarely,Research & Development,2,1,Medical,1,854,Male,Research Scientist,1,Single,3424,Upto 5k,No,13,6,2,4
RM635,25,18-25,No,Travel_Rarely,Sales,3,1,Other,1,879,Male,Sales Executive,1,Married,4194,Upto 5k,Yes,18,5,3,5
RM639,25,18-25,No,Travel_Rarely,Sales,4,1,Marketing,1,885,Male,Sales Executive,1,Married,4256,Upto 5k,No,12,5,4,5
RM684,25,18-25,Yes,Travel_Rarely,Sales,19,2,Marketing,1,952,Male,Sales Representative,2,Married,2413,Upto 5k,Yes,18,1,3,1
RM797,25,18-25,Yes,Travel_Rarely,Research & Development,4,1,Technical Degree,1,1106,Male,Laboratory Technician,4,Married,3691,Upto 5k,Yes,15,7,4,7
RM886,25,18-25,No,Travel_Rarely,Sales,10,4,Life Sciences,1,1240,Male,Sales Executive,4,Single,4950,Upto 5k,No,14,5,3,4
RM912,25,18-25,Yes,Travel_Frequently,Sales,24,1,Life Sciences,1,1273,Male,Sales Representative,4,Single,1118,Upto 5k,Yes,14,1,3,1
RM935,25,18-25,No,Travel_Rarely,Research & Development,1,3,Medical,1,1303,Female,Research Scientist,2,Single,2096,Upto 5k,No,18,2,2,2
RM966,25,18-25,No,Travel_Rarely,Research & Development,19,1,Medical,1,1358,Male,Laboratory Technician,4,Married,3669,Upto 5k,No,11,7,2,3
RM994,25,18-25,No,Travel_Rarely,Sales,18,1,Life Sciences,1,1399,Male,Sales Executive,3,Married,6232,5k-10k,No,11,6,2,3
RM1004,25,18-25,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,1415,Male,Laboratory Technician,4,Married,3229,Upto 5k,No,11,7,2,3
RM1022,25,18-25,Yes,Travel_Rarely,Sales,9,2,Life Sciences,1,1439,Male,Sales Representative,1,Married,4400,Upto 5k,No,12,6,3,3
RM1175,25,18-25,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,1653,Male,Manufacturing Director,3,Divorced,5206,5k-10k,No,17,7,3,7
RM1412,25,18-25,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,1987,Female,Human Resources,2,Married,2187,Upto 5k,No,14,6,3,2
RM1414,25,18-25,No,Travel_Rarely,Research & Development,2,1,Other,1,1992,Male,Laboratory Technician,3,Divorced,3977,Upto 5k,Yes,19,7,2,2
RM1434,25,18-25,No,Travel_Rarely,Sales,8,2,Other,1,2018,Female,Sales Executive,3,Divorced,4907,Upto 5k,Yes,22,6,2,5
RM043,26,26-35,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,55,Male,Laboratory Technician,3,Single,2293,Upto 5k,No,12,1,2,1
RM055,26,26-35,No,Travel_Rarely,Sales,23,3,Marketing,1,72,Female,Sales Executive,4,Married,4157,Upto 5k,Yes,19,5,2,2
RM126,26,26-35,No,Travel_Rarely,Research & Development,6,3,Other,1,164,Female,Research Scientist,2,Married,2368,Upto 5k,No,19,5,2,5
RM135,26,26-35,No,Travel_Rarely,Human Resources,25,1,Life Sciences,1,177,Female,Human Resources,3,Married,2942,Upto 5k,No,23,8,3,8
RM279,26,26-35,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,384,Female,Manufacturing Director,2,Divorced,6397,5k-10k,No,20,6,1,6
RM285,26,26-35,No,Travel_Frequently,Research & Development,11,2,Medical,1,390,Male,Healthcare Representative,1,Married,4741,Upto 5k,Yes,13,5,3,5
RM289,26,26-35,Yes,Travel_Rarely,Research & Development,16,4,Medical,1,394,Male,Laboratory Technician,2,Divorced,2373,Upto 5k,Yes,13,5,3,3
RM294,26,26-35,Yes,Travel_Rarely,Sales,4,4,Marketing,1,401,Male,Sales Executive,4,Single,5828,5k-10k,Yes,12,8,3,8
RM356,26,26-35,No,Travel_Rarely,Sales,1,3,Life Sciences,1,476,Male,Sales Executive,3,Married,5296,5k-10k,No,17,8,3,8
RM383,26,26-35,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,1,510,Male,Research Scientist,1,Single,3102,Upto 5k,No,22,7,3,6
RM419,26,26-35,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,560,Female,Research Scientist,4,Divorced,2886,Upto 5k,No,22,3,1,3
RM454,26,26-35,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,1,608,Female,Human Resources,3,Divorced,2741,Upto 5k,Yes,11,8,2,7
RM461,26,26-35,No,Travel_Rarely,Sales,29,2,Medical,1,618,Male,Sales Executive,3,Divorced,4306,Upto 5k,No,12,8,3,0
RM464,26,26-35,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,1,622,Male,Laboratory Technician,4,Single,2340,Upto 5k,Yes,18,1,1,1
RM476,26,26-35,No,Travel_Rarely,Sales,28,2,Marketing,1,641,Male,Sales Executive,2,Married,6272,5k-10k,No,20,6,4,5
RM506,26,26-35,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,686,Female,Laboratory Technician,4,Married,2659,Upto 5k,Yes,13,3,3,3
RM572,26,26-35,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,792,Female,Laboratory Technician,4,Divorced,4364,Upto 5k,No,14,5,3,2
RM574,26,26-35,Yes,Travel_Rarely,Sales,8,3,Technical Degree,1,796,Male,Sales Executive,1,Single,5326,5k-10k,No,17,6,2,4
RM615,26,26-35,Yes,Travel_Frequently,Research & Development,5,2,Medical,1,848,Female,Research Scientist,3,Married,2366,Upto 5k,Yes,14,8,3,8
RM686,26,26-35,No,Travel_Frequently,Sales,1,3,Medical,1,956,Male,Sales Executive,1,Single,4294,Upto 5k,No,12,7,3,7
RM734,26,26-35,No,Travel_Rarely,Research & Development,2,2,Medical,1,1018,Male,Manufacturing Director,4,Married,5472,5k-10k,No,12,8,3,8
RM749,26,26-35,Yes,Non-Travel,Sales,29,2,Medical,1,1037,Male,Sales Executive,1,Single,4969,Upto 5k,No,18,7,3,2
RM763,26,26-35,Yes,Travel_Frequently,Research & Development,2,3,Life Sciences,1,1053,Male,Research Scientist,1,Married,2042,Upto 5k,Yes,14,6,3,3
RM770,26,26-35,No,Travel_Frequently,Research & Development,1,1,Medical,1,1068,Female,Research Scientist,3,Divorced,2007,Upto 5k,No,13,5,3,5
RM782,26,26-35,No,Travel_Rarely,Research & Development,1,2,Medical,1,1083,Male,Laboratory Technician,1,Married,3955,Upto 5k,No,16,6,3,5
RM798,26,26-35,Yes,Travel_Rarely,Research & Development,21,3,Medical,1,1107,Male,Laboratory Technician,3,Divorced,2377,Upto 5k,No,20,1,2,1
RM844,26,26-35,No,Travel_Rarely,Research & Development,3,4,Medical,1,1177,Male,Laboratory Technician,4,Married,4420,Upto 5k,No,22,8,3,8
RM913,26,26-35,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,1275,Male,Research Scientist,4,Single,2875,Upto 5k,Yes,20,8,2,8
RM999,26,26-35,No,Travel_Rarely,Research & Development,2,1,Medical,1,1407,Male,Research Scientist,4,Single,3904,Upto 5k,No,12,5,3,4
RM1005,26,26-35,No,Travel_Rarely,Research & Development,7,3,Other,1,1417,Male,Laboratory Technician,1,Single,3578,Upto 5k,No,12,8,3,7
RM1119,26,26-35,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1581,Female,Research Scientist,4,Married,2061,Upto 5k,No,21,1,3,1
RM1207,26,26-35,No,Non-Travel,Research & Development,7,3,Medical,1,1693,Male,Laboratory Technician,4,Single,2570,Upto 5k,No,20,7,3,7
RM1225,26,26-35,No,Travel_Rarely,Research & Development,17,4,Medical,1,1718,Male,Laboratory Technician,3,Married,2305,Upto 5k,No,15,3,4,3
RM1298,26,26-35,Yes,Travel_Rarely,Human Resources,20,2,Medical,1,1818,Female,Human Resources,2,Married,2148,Upto 5k,Yes,11,6,3,5
RM1310,26,26-35,No,Travel_Rarely,Sales,10,3,Medical,1,1836,Male,Sales Executive,4,Single,4684,Upto 5k,No,13,5,3,5
RM1350,26,26-35,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1893,Female,Research Scientist,3,Married,2933,Upto 5k,Yes,13,1,2,1
RM1362,26,26-35,No,Travel_Frequently,Research & Development,6,3,Other,1,1918,Male,Laboratory Technician,4,Married,2544,Upto 5k,No,18,8,3,7
RM1387,26,26-35,No,Travel_Rarely,Research & Development,1,3,Medical,1,1952,Male,Laboratory Technician,1,Single,2867,Upto 5k,No,13,8,2,7
RM1465,26,26-35,No,Travel_Rarely,Sales,5,3,Other,1,2060,Female,Sales Representative,3,Single,2966,Upto 5k,No,18,5,3,4
RM1465,26,26-35,No,Travel_Rarely,Sales,5,3,Other,1,2060,Female,Sales Representative,3,Single,2966,Upto 5k,No,18,5,3,4
RM005,27,26-35,No,Travel_Rarely,Research & Development,2,1,Medical,1,7,Male,Laboratory Technician,2,Married,3468,Upto 5k,No,12,6,3,2
RM042,27,26-35,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,54,Female,Laboratory Technician,1,Divorced,2341,Upto 5k,No,13,1,3,1
RM044,27,26-35,No,Travel_Frequently,Sales,8,3,Life Sciences,1,56,Male,Sales Executive,3,Single,8726,5k-10k,No,15,9,3,9
RM162,27,26-35,No,Non-Travel,Research & Development,9,3,Medical,1,218,Male,Research Scientist,2,Divorced,2024,Upto 5k,No,18,6,1,2
RM165,27,26-35,No,Non-Travel,Research & Development,3,3,Medical,1,224,Male,Research Scientist,3,Divorced,2566,Upto 5k,Yes,15,1,2,1
RM171,27,26-35,No,Travel_Rarely,Research & Development,17,3,Technical Degree,1,233,Male,Research Scientist,2,Married,3058,Upto 5k,Yes,16,6,2,5
RM192,27,26-35,No,Travel_Rarely,Research & Development,9,3,Medical,1,260,Female,Research Scientist,2,Single,2279,Upto 5k,No,16,7,2,7
RM201,27,26-35,No,Travel_Frequently,Research & Development,1,1,Technical Degree,1,274,Male,Manufacturing Director,1,Married,4298,Upto 5k,No,19,6,3,2
RM213,27,26-35,No,Travel_Frequently,Sales,20,3,Life Sciences,1,293,Female,Sales Executive,3,Single,9981,5k-10k,No,14,7,3,7
RM319,27,26-35,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,434,Female,Research Scientist,2,Single,2478,Upto 5k,Yes,12,4,2,4
RM321,27,26-35,No,Travel_Rarely,Sales,2,3,Life Sciences,1,437,Male,Sales Executive,3,Single,4478,Upto 5k,Yes,11,5,3,5
RM332,27,26-35,No,Non-Travel,Sales,1,1,Marketing,1,449,Male,Sales Executive,2,Married,6349,5k-10k,Yes,13,6,3,5
RM340,27,26-35,No,Travel_Rarely,Sales,8,4,Marketing,1,458,Female,Sales Executive,2,Married,6214,5k-10k,No,18,8,3,8
